# Copyright (c) 2014-2019 Maltrail developers (https://github.com/stamparm/maltrail/)
# See the file 'LICENSE' for copying permission

#################################################################
# Note: to automatically block IPs from this list (with ipset): #
#################################################################
#  sudo su
#  apt-get -qq install iptables ipset &&\
#  ipset -q flush mass_scanners &&\
#  ipset -q create mass_scanners hash:net &&\
#  for ip in $(curl https://raw.githubusercontent.com/stamparm/maltrail/master/trails/static/mass_scanner.txt 2>/dev/null | grep -v "^#" | cut -d " " -f 1); do ipset add mass_scanners $ip; done &&\
#  iptables -I INPUT -m set --match-set mass_scanners src -j DROP
#  iptables -nvL
#################################################################

129.82.138.12  # pinger1a.netsec.colostate.edu
141.212.121.234   # researchscan***.eecs.umich.edu
141.212.121.235   # researchscan***.eecs.umich.edu
141.212.121.236   # researchscan***.eecs.umich.edu
141.212.121.237   # researchscan***.eecs.umich.edu
141.212.121.238   # researchscan***.eecs.umich.edu
141.212.121.239   # researchscan***.eecs.umich.edu
141.212.121.240   # researchscan***.eecs.umich.edu
141.212.121.241   # researchscan***.eecs.umich.edu
141.212.121.242   # researchscan***.eecs.umich.edu
141.212.121.243   # researchscan***.eecs.umich.edu
141.212.121.244   # researchscan***.eecs.umich.edu
141.212.121.245   # researchscan***.eecs.umich.edu
141.212.121.246   # researchscan***.eecs.umich.edu
141.212.121.247   # researchscan***.eecs.umich.edu
141.212.121.248   # researchscan***.eecs.umich.edu
141.212.121.249   # researchscan***.eecs.umich.edu
141.212.121.250   # researchscan***.eecs.umich.edu
141.212.121.251   # researchscan***.eecs.umich.edu
141.212.121.252   # researchscan***.eecs.umich.edu
141.212.121.253   # researchscan***.eecs.umich.edu
141.212.121.254   # researchscan***.eecs.umich.edu
141.212.121.255   # researchscan***.eecs.umich.edu
141.212.122.0   # researchscan***.eecs.umich.edu
141.212.122.1   # researchscan***.eecs.umich.edu
141.212.122.2   # researchscan***.eecs.umich.edu
141.212.122.3   # researchscan***.eecs.umich.edu
141.212.122.4   # researchscan***.eecs.umich.edu
141.212.122.5   # researchscan***.eecs.umich.edu
141.212.122.6   # researchscan***.eecs.umich.edu
141.212.122.7   # researchscan***.eecs.umich.edu
141.212.122.8   # researchscan***.eecs.umich.edu
141.212.122.9   # researchscan***.eecs.umich.edu
141.212.122.10   # researchscan***.eecs.umich.edu
141.212.122.11   # researchscan***.eecs.umich.edu
141.212.122.12   # researchscan***.eecs.umich.edu
141.212.122.13   # researchscan***.eecs.umich.edu
141.212.122.14   # researchscan***.eecs.umich.edu
141.212.122.15   # researchscan***.eecs.umich.edu
141.212.122.16   # researchscan***.eecs.umich.edu
141.212.122.17   # researchscan***.eecs.umich.edu
141.212.122.18   # researchscan***.eecs.umich.edu
141.212.122.19   # researchscan***.eecs.umich.edu
141.212.122.20   # researchscan***.eecs.umich.edu
141.212.122.21   # researchscan***.eecs.umich.edu
141.212.122.22   # researchscan***.eecs.umich.edu
141.212.122.23   # researchscan***.eecs.umich.edu
141.212.122.24   # researchscan***.eecs.umich.edu
141.212.122.25   # researchscan***.eecs.umich.edu
141.212.122.26   # researchscan***.eecs.umich.edu
141.212.122.27   # researchscan***.eecs.umich.edu
141.212.122.28   # researchscan***.eecs.umich.edu
141.212.122.29   # researchscan***.eecs.umich.edu
141.212.122.30   # researchscan***.eecs.umich.edu
141.212.122.31   # researchscan***.eecs.umich.edu
141.212.122.32   # researchscan***.eecs.umich.edu
141.212.122.33   # researchscan***.eecs.umich.edu
141.212.122.34   # researchscan***.eecs.umich.edu
141.212.122.35   # researchscan***.eecs.umich.edu
141.212.122.36   # researchscan***.eecs.umich.edu
141.212.122.37   # researchscan***.eecs.umich.edu
141.212.122.38   # researchscan***.eecs.umich.edu
141.212.122.39   # researchscan***.eecs.umich.edu
141.212.122.40   # researchscan***.eecs.umich.edu
141.212.122.41   # researchscan***.eecs.umich.edu
141.212.122.42   # researchscan***.eecs.umich.edu
141.212.122.43   # researchscan***.eecs.umich.edu
141.212.122.44   # researchscan***.eecs.umich.edu
141.212.122.45   # researchscan***.eecs.umich.edu
141.212.122.46   # researchscan***.eecs.umich.edu
141.212.122.47   # researchscan***.eecs.umich.edu
141.212.122.48   # researchscan***.eecs.umich.edu
141.212.122.49   # researchscan***.eecs.umich.edu
141.212.122.50   # researchscan***.eecs.umich.edu
141.212.122.51   # researchscan***.eecs.umich.edu
141.212.122.52   # researchscan***.eecs.umich.edu
141.212.122.53   # researchscan***.eecs.umich.edu
141.212.122.54   # researchscan***.eecs.umich.edu
141.212.122.55   # researchscan***.eecs.umich.edu
141.212.122.56   # researchscan***.eecs.umich.edu
141.212.122.57   # researchscan***.eecs.umich.edu
141.212.122.58   # researchscan***.eecs.umich.edu
141.212.122.59   # researchscan***.eecs.umich.edu
141.212.122.60   # researchscan***.eecs.umich.edu
141.212.122.61   # researchscan***.eecs.umich.edu
141.212.122.62   # researchscan***.eecs.umich.edu
141.212.122.63   # researchscan***.eecs.umich.edu
141.212.122.64   # researchscan***.eecs.umich.edu
141.212.122.65   # researchscan***.eecs.umich.edu
141.212.122.66   # researchscan***.eecs.umich.edu
141.212.122.67   # researchscan***.eecs.umich.edu
141.212.122.68   # researchscan***.eecs.umich.edu
141.212.122.69   # researchscan***.eecs.umich.edu
141.212.122.70   # researchscan***.eecs.umich.edu
141.212.122.71   # researchscan***.eecs.umich.edu
141.212.122.72   # researchscan***.eecs.umich.edu
141.212.122.73   # researchscan***.eecs.umich.edu
141.212.122.74   # researchscan***.eecs.umich.edu
141.212.122.75   # researchscan***.eecs.umich.edu
141.212.122.76   # researchscan***.eecs.umich.edu
141.212.122.77   # researchscan***.eecs.umich.edu
141.212.122.78   # researchscan***.eecs.umich.edu
141.212.122.79   # researchscan***.eecs.umich.edu
141.212.122.80   # researchscan***.eecs.umich.edu
141.212.122.81   # researchscan***.eecs.umich.edu
141.212.122.82   # researchscan***.eecs.umich.edu
141.212.122.83   # researchscan***.eecs.umich.edu
141.212.122.84   # researchscan***.eecs.umich.edu
141.212.122.85   # researchscan***.eecs.umich.edu
141.212.122.86   # researchscan***.eecs.umich.edu
141.212.122.87   # researchscan***.eecs.umich.edu
141.212.122.88   # researchscan***.eecs.umich.edu
141.212.122.89   # researchscan***.eecs.umich.edu
141.212.122.90   # researchscan***.eecs.umich.edu
141.212.122.91   # researchscan***.eecs.umich.edu
141.212.122.92   # researchscan***.eecs.umich.edu
141.212.122.93   # researchscan***.eecs.umich.edu
141.212.122.94   # researchscan***.eecs.umich.edu
141.212.122.95   # researchscan***.eecs.umich.edu
141.212.122.96   # researchscan***.eecs.umich.edu
141.212.122.97   # researchscan***.eecs.umich.edu
141.212.122.98   # researchscan***.eecs.umich.edu
141.212.122.99   # researchscan***.eecs.umich.edu
141.212.122.100   # researchscan***.eecs.umich.edu
141.212.122.101   # researchscan***.eecs.umich.edu
141.212.122.102   # researchscan***.eecs.umich.edu
141.212.122.103   # researchscan***.eecs.umich.edu
141.212.122.104   # researchscan***.eecs.umich.edu
141.212.122.105   # researchscan***.eecs.umich.edu
141.212.122.106   # researchscan***.eecs.umich.edu
141.212.122.107   # researchscan***.eecs.umich.edu
141.212.122.108   # researchscan***.eecs.umich.edu
141.212.122.109   # researchscan***.eecs.umich.edu
141.212.122.110   # researchscan***.eecs.umich.edu
141.212.122.111   # researchscan***.eecs.umich.edu
141.212.122.112   # researchscan***.eecs.umich.edu
141.212.122.113   # researchscan***.eecs.umich.edu
141.212.122.114   # researchscan***.eecs.umich.edu
141.212.122.115   # researchscan***.eecs.umich.edu
141.212.122.116   # researchscan***.eecs.umich.edu
141.212.122.117   # researchscan***.eecs.umich.edu
141.212.122.118   # researchscan***.eecs.umich.edu
141.212.122.119   # researchscan***.eecs.umich.edu
141.212.122.120   # researchscan***.eecs.umich.edu
141.212.122.121   # researchscan***.eecs.umich.edu
141.212.122.122   # researchscan***.eecs.umich.edu
141.212.122.123   # researchscan***.eecs.umich.edu
141.212.122.124   # researchscan***.eecs.umich.edu
141.212.122.125   # researchscan***.eecs.umich.edu
141.212.122.126   # researchscan***.eecs.umich.edu
141.212.122.127   # researchscan***.eecs.umich.edu
141.212.122.128   # researchscan***.eecs.umich.edu
141.212.122.129   # researchscan***.eecs.umich.edu
141.212.122.130   # researchscan***.eecs.umich.edu
141.212.122.131   # researchscan***.eecs.umich.edu
141.212.122.132   # researchscan***.eecs.umich.edu
141.212.122.133   # researchscan***.eecs.umich.edu
141.212.122.134   # researchscan***.eecs.umich.edu
141.212.122.135   # researchscan***.eecs.umich.edu
141.212.122.136   # researchscan***.eecs.umich.edu
141.212.122.137   # researchscan***.eecs.umich.edu
141.212.122.138   # researchscan***.eecs.umich.edu
141.212.122.139   # researchscan***.eecs.umich.edu
141.212.122.140   # researchscan***.eecs.umich.edu
141.212.122.141   # researchscan***.eecs.umich.edu
141.212.122.142   # researchscan***.eecs.umich.edu
141.212.122.143   # researchscan***.eecs.umich.edu
141.212.122.144   # researchscan***.eecs.umich.edu
141.212.122.145   # researchscan***.eecs.umich.edu
141.212.122.146   # researchscan***.eecs.umich.edu
141.212.122.147   # researchscan***.eecs.umich.edu
141.212.122.148   # researchscan***.eecs.umich.edu
141.212.122.149   # researchscan***.eecs.umich.edu
141.212.122.150   # researchscan***.eecs.umich.edu
141.212.122.151   # researchscan***.eecs.umich.edu
141.212.122.152   # researchscan***.eecs.umich.edu
141.212.122.153   # researchscan***.eecs.umich.edu
141.212.122.154   # researchscan***.eecs.umich.edu
141.212.122.155   # researchscan***.eecs.umich.edu
141.212.122.156   # researchscan***.eecs.umich.edu
141.212.122.157   # researchscan***.eecs.umich.edu
141.212.122.158   # researchscan***.eecs.umich.edu
141.212.122.159   # researchscan***.eecs.umich.edu
141.212.122.160   # researchscan***.eecs.umich.edu
141.212.122.161   # researchscan***.eecs.umich.edu
141.212.122.162   # researchscan***.eecs.umich.edu
141.212.122.163   # researchscan***.eecs.umich.edu
141.212.122.164   # researchscan***.eecs.umich.edu
141.212.122.165   # researchscan***.eecs.umich.edu
141.212.122.166   # researchscan***.eecs.umich.edu
141.212.122.167   # researchscan***.eecs.umich.edu
141.212.122.168   # researchscan***.eecs.umich.edu
141.212.122.169   # researchscan***.eecs.umich.edu
141.212.122.170   # researchscan***.eecs.umich.edu
141.212.122.171   # researchscan***.eecs.umich.edu
141.212.122.172   # researchscan***.eecs.umich.edu
141.212.122.173   # researchscan***.eecs.umich.edu
141.212.122.174   # researchscan***.eecs.umich.edu
141.212.122.175   # researchscan***.eecs.umich.edu
141.212.122.176   # researchscan***.eecs.umich.edu
141.212.122.177   # researchscan***.eecs.umich.edu
141.212.122.178   # researchscan***.eecs.umich.edu
141.212.122.179   # researchscan***.eecs.umich.edu
141.212.122.180   # researchscan***.eecs.umich.edu
141.212.122.181   # researchscan***.eecs.umich.edu
141.212.122.182   # researchscan***.eecs.umich.edu
141.212.122.183   # researchscan***.eecs.umich.edu
141.212.122.184   # researchscan***.eecs.umich.edu
141.212.122.185   # researchscan***.eecs.umich.edu
141.212.122.186   # researchscan***.eecs.umich.edu
141.212.122.187   # researchscan***.eecs.umich.edu
141.212.122.188   # researchscan***.eecs.umich.edu
141.212.122.189   # researchscan***.eecs.umich.edu
141.212.122.190   # researchscan***.eecs.umich.edu
141.212.122.191   # researchscan***.eecs.umich.edu
141.212.122.192   # researchscan***.eecs.umich.edu
141.212.122.193   # researchscan***.eecs.umich.edu
141.212.122.194   # researchscan***.eecs.umich.edu
141.212.122.195   # researchscan***.eecs.umich.edu
141.212.122.196   # researchscan***.eecs.umich.edu
141.212.122.197   # researchscan***.eecs.umich.edu
141.212.122.198   # researchscan***.eecs.umich.edu
141.212.122.199   # researchscan***.eecs.umich.edu
141.212.122.200   # researchscan***.eecs.umich.edu
141.212.122.201   # researchscan***.eecs.umich.edu
141.212.122.202   # researchscan***.eecs.umich.edu
141.212.122.203   # researchscan***.eecs.umich.edu
141.212.122.204   # researchscan***.eecs.umich.edu
141.212.122.205   # researchscan***.eecs.umich.edu
141.212.122.206   # researchscan***.eecs.umich.edu
